web-scraper-order,web-scraper-start-url,job_title_link,job_title_link-href,job_title,Company,Salary,Date,job_description,pages,pages-href
"1628454831-1436","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=15","Data Quality Analyst","https://www.reed.co.uk/jobs/data-quality-analyst/43433826?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Data Quality Analyst","Profiles Creative","£36,000 - £38,000 per annum, negotiable, inc benefits","Posted 20 July by 

                        Profiles Creative","A leading online retail & groceries brand is undergoing considerable investment in their Insight & Analytics teams across the business. 

This is a fantastic opportunity to join a data-driven e-commerce business at the forefront of technological innovation. Working in an entrepreneurial start-up environment with the backing of a huge brand.

The Role:

*The main purpose of the role is to Drive Data quality improvement across the business.
*Support the data governance programme (and associated data governance council) through detailed data analysis.
*Builds tools and dashboards to monitor quality and provide alerts to all data users.
*Manage, monitor, assess, resolve data quality issues with EDW, Data Marts and reporting solutions.
*Answer business questions about data, be the bridge between data and Insight.
*Assess and profile new data sources to provide input to integration design.
*Collaborate with business users and analysts to capture business rules and data quality rules.
*Maintain enterprise data model in line with data quality deliverables.

The Candidate:

*Minimum 2 years experience working as a Data Quality Analyst.
*Experience of creating and implementing data quality dashboards and monitoring techniques.
*Experience of data quality profiling, and creating data quality rules agreed with the business stakeholders.
*Good Data Modelling experience.
*Good SQL and/or PL/SQL experience.
*MS Excel/GSheets at an advanced level.
*SQL, with table design and creation as a minimum standard, with the ability to manipulate fields, insert, delete and move data.
*Knowledge of Data integration, reconfiguration and manipulation
*Experience working with cloud platform - especially GCP

Profiles Creative is acting as an Employment Agency in relation to this vacancy.","",""
"1628455695-1752","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom","Data Analyst","https://www.reed.co.uk/jobs/data-analyst/43351067?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Data Analyst","Profectus Recruitment","£30,000 - £40,000 per annum","Posted 13 July by 

                        Profectus Recruitment","Commercial Data Analyst
London - Part Remote (Hybrid 1 day in office)
Annual Development Budget, Unlimited Coursera Access, Private Health and Dental Profectus are very pleased to present this excellent opportunity with this cutting-edge, Machine Learning and Data Engineering driven scale-up who help their clients to predict B2B sales opportunities by leveraging the power of AI. As a Data Analyst with  this client, you'll deliver solutions and data to their clients.  Generate reports on commercial metrics Supporting Customer Success Managers with ad hoc insight and data requests by the clientCreating ROI analyses and presentations with the Commercial teamWorking with their software engineering team to create automated client reportingWorking with complex data Requirements  Business Acumen Abilty in communicating insights from data to a non-technical audienceAble to understand the technical requirements of the data science team Experience and background  Career changers welcome!At least two years work experience in an insights/analytics backgroundAdvanced Excel skills: being able to design and maintain reporting and dashboards alongside ad hoc analysisPython for data, especially Pandas and NumpyExperience in data visualizationExperience with large messy data sets, producing custom reports and insights to a briefExperience in working with both commercial and technical stakeholders Plenty of other benefits that I will happily share should you be interested in learning more about this opportunity. *This opportunity is only open to UK based candidates with full working rights. If this sounds like a good fit for you then please do get in touch o9n the details listed for immediate consideration.","2","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=2"
"1628455409-1639","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=8","Senior Data Analyst","https://www.reed.co.uk/jobs/senior-data-analyst/43183630?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Senior Data Analyst","Data Idols","Salary negotiable","Posted 28 June by 

                        Data Idols","Senior Data Analyst  Data Idols are working with one of the largest open database companies in the world who are looking for a Senior Data Analyst to join the team. This role is based in London however, they are open to flexible working and remote is an option within the UK. THE ROLE Within this role as a Senior Data Analyst you will be supporting the wider Data team and provide leadership, mentor junior team members and also be working with stakeholders at all levels. YOUR SKILLS AND EXPERIENCE  Strong commercial experience in stakeholder managementExperience in delivering end to end projects as part of a team and individuallyStrong data presentation and SQL skillsCommercial experience working with PythonAn understanding of ETL processes This is a great opportunity for a Senior Data Analyst to join a great company on a permanent basis with a great salary and benefits package. For consideration and further details please submit your CV. Salary: £60,000 - £70,000 Senior Data Analyst","",""
"1628455063-1527","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=12","Market Data Analyst","https://www.reed.co.uk/jobs/market-data-analyst/43259437?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Market Data Analyst","James Frank Associates","£25,000 per annum","Posted 5 July by 

                        James Frank Associates","Our client, a well-established and hugely-successful business is seeking a Market Data Analyst to join their growing team on a permanent basis. Due to continued expansion, our client is looking for a Market Data Analyst to join their team providing a high level of analysis to the business, providing timely, unbiased and relevant reports to the management team. Working alongside the Marketing team, you will analyse years’ worth of data and the current market trends in order to assist the business with their Marketing strategies. The ideal candidate will have a minimum of 2 years’ experience in a Marketing / Data position, with the ability to interpret technical marketing and data knowledge. Key Responsibilities: - Manage and maintain the internal SEO alongside external SEO contractors and professionals - Manage the relationship with external Website developers You will also be required to maintain reports on the following: - Google Analytics - Google Trends Data - Search Engine rankings - Costs index - Social Media Analytics - Key Competitor Analysis - Web Chat Reporting This is a fantastic opportunity to join a thriving business who are leaders within their field. The ideal candidate will have a background in Marketing and Data, with a keen eye for trends and data analysis. This is an immediate start vacancy where possible, so please apply now for immediate consideration.","",""
"1628454193-1193","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=25","Customer Service Data Analyst","https://www.reed.co.uk/jobs/customer-service-data-analyst/43532561?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Customer Service Data Analyst","Focus Resourcing","Salary negotiable","Posted 30 July by 

                        Focus Resourcing","4-6 month contract to cover sabbatical  Working for our highly prestigious client you will working in partnership with a Super Luxury automotive client in the busy Client Contact Team. You will be responsible for all first-tier customer engagement, across all mediums as well as championing new  product campaigns. In addition you will be responsible for collating client data, preparing reports and assisting with approving efficiency's with the team. The role of the Technical Client Contact Specialist requires a dynamic individual with a ""can do"" attitude filled with personal drive, self-confidence and team spirit, with the delivery of effortless client experience at the heart of everything you do. Attention  to detail at the highest level is a pre-requisite and superior client service levels are essential. The successful individual will always strive for perfection and ""right first time"" solutions The Client Contact Centre's standard operating hours are Monday - Friday 08:30 to 17:00, but flexibility is needed when specialist projects/campaigns are happening. Your role:   Accurate maintenance of all existing reporting and process documentation  Client data collation, analysis and recording accurately  Creation and maintenance of department reporting and analysis tools  Input to flash reports for management visibility  Using data to analyse efficiency's and improvements  The person:    Fluent English, spoken and written  An enthusiastic attitude paired with an approachable personality  Continually seeks to improve client satisfaction with high level ability to connect with the client  Flexible, adaptable and professional approach to work  Project Management Skills (i.e., multiple campaigns)  Advanced Microsoft abilities including Word, Excel, PowerPoint  Strong interpersonal and communication skills.  Highly motivated with the ability to motivate others  Responsive team player  Able to meet tight deadlines and work well under pressure  Actively seeks improvement in all aspects of work  Enjoys new challenges  Can do attitude with a strong focus on solutions  Adaptable and versatile  Process development and documentation  Desirable:   Luxury Retail experience  eDM Marketing  Knowledge of Salesforce / CRM systems  Full UK/EU driving licence  Desirable - Other Languages: Arabic, Korean or Russian","",""
"1628455483-1667","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=7","Data Analyst","https://www.reed.co.uk/jobs/data-analyst/43597737?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Data Analyst","Pontoon","Salary negotiable","Posted 3 days ago by 

                        Pontoon","My Corporate Travel Management Client are looking for a Data Analyst to work on analysing the quality of data from multiple hotel booking systems to help match it to the algorithm that they use in-house. The role will work alongside Big Data Engineers and  Machine Learning Engineers : You have the technical competence to perform advanced analytics with a mix of SQL & Python on a Hadoop platform  SQL: The ability to write complex SQL queries to analyse our databases, and work effectively and independently with big data technologies (Hive and Impala or sufficient SQL experience to easily train)Confident coding and scripting skills for data hacking/munging, integrating, cleaning, exploring, loading.Programming Languages: Python strongly preferredExperience performing analysis with large datasets, in particular in a Hadoop platform Main responsibilities:  Support the development of new, innovative, data-driven products in coordination with commercial, product management and technology platform teams to achieve a competitive advantage in the corporate travel spacePlay a key role in client-side implementation of innovative data-driven products, covering the data aspectsProvide consultative support to internal and external clients and/or teams working with clients advising on how their business problems can be solved with dataWorking with cross-functional teams including data scientists, product managers, data engineers and travel experts as a partner making and giving recommendations when neededEngage significantly in hands-on data hacking/munging, integrating, cleaning, exploring, analysing, visualising, etc.Advise and assist product management, software development and client implement teams to convert data insight, data processing needs and results in to meaningful business and technical requirements where relevantSupport testing of production code where relevantSupport the management of the analytics processes, operations, procedures and data governance, security and protection.Coordinating with software development and product management teams at all stages of the service and software product lifecycle - acting as the focal point for all client data analytics activities whether they be internal or external clients.Ensuring data management complies with all local, regional and national legal and regulatory frameworks,","5","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=5"
"1628454727-1398","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=17","Data Analyst - Fintech","https://www.reed.co.uk/jobs/data-analyst-fintech/43259519?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Data Analyst - Fintech","Davies Resourcing","£35,000 - £50,000 per annum","Posted 5 July by 

                        Davies Resourcing","Our client is a multi-award winning FinTech company on a mission to transform the quality of regulatory reporting in the financial services industry. They are rapidly growing and are looking for a number of Data Analyst to join their team Key activities and responsibilities will include:  Conduct detailed analysis across a broad range of data sources, producing timely and concise resultsAssisting with new developments and projects to improve efficiency and productivityCollaborate with other developers in the team to create & maintain reliable, scalable and flexible platforms and applications. Such projects must be well tested and delivered according to the project scheduleRespond to problems or issues in a timely fashion, ensuring minimum disruption to serviceExecuting test cycles on client data as requiredAny other ad-hoc data capture and data cleansingDesire and capacity to learn and understand trade regulations to further build out our existing industry-leading servicesSupporting Line Manager as well as the Lead Data Engineer / Scientist in delivering client engagements Requirements and prospects  Excellent problem-solving skills and extraordinary levels of common senseExceptional organisational and prioritisation skills, with the ability to work autonomouslyGreat verbal and written skills that can be tailored to a wide range of audiencesComfortable and able to work with dataWorking to a deadlineExperience working within a team","",""
"1628455109-1545","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=11","CRM Data Analyst","https://www.reed.co.uk/jobs/crm-data-analyst/43391636?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","CRM Data Analyst","Experis LTD","£37,000 - £42,000 per annum","Posted 16 July by 

                        Experis LTD","CRM Data Analyst  Job Category: MarketingJob Level: Specialist/ ProfessionalEmployment Type: Full-time PermanentLocation: Uxbridge, Middlesex Job Purpose and Summary My global client is currently seeking a CRM Data Analyst to join its team and help support and develop its direct marketing & data intelligence capability. The role is focused on helping develop a relationship with its consumers and leveraging it to grow  understanding of the base and optimizing marketing opportunities for imaging products and services. This encompasses developing the organizations' ability to collect, analyse and apply in its decision-making customer, prosumer and consumer data. We are looking for a curious minded CRM Data Analyst, to the join our great team, that can demonstrate problem solving skills and the ability to manage multiple stakeholders and projects. We've implemented the world class CRM platform, Salesforce, so experience  of this or a similar platform would be an advantage. What we give You'll get the support and encouragement you need to grow, from people who share your ambition. We'll invest in your professional development to help you learn and progress in your role with us. You'll find leaders who give you the freedom to explore new  things and a team where knowledge is shared openly. As the CRM Data Analyst you will be responsible for;  Campaign analytics. In line with campaign and program briefs, identify target customer segments within the base. Advise stakeholders on the business case and assess each campaign in terms of its contribution to business and individual campaign objectives  (e.g. lens offer, cash back promotion and accessories campaign). Feedback on performance of campaigns and initiatives, make recommendations for improvements.Customer base insight generation and opportunity identification. Using segmentation, data mining and modelling identify opportunities for targeted communications, offers and services. Liaison with product, channel, marketing, commercial, legal teams and  third parties to bring new propositions to market (e.g. business case for an insurance product or extended warranty)Performance measurement and reporting. Pulling information on base status, key segments, key marketing activities and levels of base engagement to make it easy for central and local teams to identify areas that need addressing and areasof opportunity for  tactical activity.Data strategy, capture and db management. Define business and technical requirements to develop analytics capability e.g. data strategy and governance, cleaning, data augmentation and capture including event and prospect management.  What we ask To be considered for our CRM Data Analyst role you will:   Have a strong understanding of CRM data planning and data query management in retail/ eCommerce and telco/ utility/ finance sector - loyalty experience would be an advantageThrive on CRM performance monitoring and reporting to improve targeting and audience selection Have knowledge of CRM software (SalesForce, Microsoft Dynamics, etc), analytical software especially Access, Excel, SQL, SAS and reporting tools (Power BI, data studio, Google Analytics) Be analytical and process driven with a fantastic attention for detailHave experience of creating data strategies that drive commercial benefitEnjoy stakeholder management and working with cross functional teams You will need to demonstrate  Creative thinker and problem solver.Excellent planning, organisational and time management skills, with the ability to work under pressure and to tight deadlines.Proven ability to multi-task, manage and prioritise multiple campaigns and stakeholders, maintaining a key eye for detail in all areas.Demonstrates an effective and resourceful approach to addressing issues.Keen to suggest new ideas and/or ways of doing things. Benefits: Competitive salary and bonus scheme *25 days holiday plus bank holidays *DB pension scheme, Life Cover for those in the pension scheme *Staff purchase scheme. *Private Health Care *Plus access to many other lifestyle benefits","",""
"1628455299-1595","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=9","Marketing Data Analyst","https://www.reed.co.uk/jobs/marketing-data-analyst/43552801?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Marketing Data Analyst","Experis LTD","£37,000 - £42,000 per annum","Posted 6 days ago by 

                        Experis LTD","CRM Data Analyst  Job Category: MarketingJob Level: Specialist/ ProfessionalEmployment Type: Full-time PermanentLocation: Uxbridge, Middlesex Job Purpose and Summary My global client is currently seeking a CRM Data Analyst to join its team and help support and develop its direct marketing & data intelligence capability. The role is focused on helping develop a relationship with its consumers and leveraging it to grow  understanding of the base and optimizing marketing opportunities for imaging products and services. This encompasses developing the organizations' ability to collect, analyse and apply in its decision-making customer, prosumer and consumer data. We are looking for a curious minded CRM Data Analyst, to the join our great team, that can demonstrate problem solving skills and the ability to manage multiple stakeholders and projects. We've implemented the world class CRM platform, Salesforce, so experience  of this or a similar platform would be an advantage. What we give You'll get the support and encouragement you need to grow, from people who share your ambition. We'll invest in your professional development to help you learn and progress in your role with us. You'll find leaders who give you the freedom to explore new  things and a team where knowledge is shared openly. As the CRM Data Analyst you will be responsible for;  Campaign analytics. In line with campaign and program briefs, identify target customer segments within the base. Advise stakeholders on the business case and assess each campaign in terms of its contribution to business and individual campaign objectives  (e.g. lens offer, cash back promotion and accessories campaign). Feedback on performance of campaigns and initiatives, make recommendations for improvements.Customer base insight generation and opportunity identification. Using segmentation, data mining and modelling identify opportunities for targeted communications, offers and services. Liaison with product, channel, marketing, commercial, legal teams and  third parties to bring new propositions to market (e.g. business case for an insurance product or extended warranty)Performance measurement and reporting. Pulling information on base status, key segments, key marketing activities and levels of base engagement to make it easy for central and local teams to identify areas that need addressing and areasof opportunity for  tactical activity.Data strategy, capture and db management. Define business and technical requirements to develop analytics capability e.g. data strategy and governance, cleaning, data augmentation and capture including event and prospect management.  What we ask To be considered for our CRM Data Analyst role you will:   Have a strong understanding of CRM data planning and data query management in retail/ eCommerce and telco/ utility/ finance sector - loyalty experience would be an advantageThrive on CRM performance monitoring and reporting to improve targeting and audience selection Have knowledge of CRM software (SalesForce, Microsoft Dynamics, etc), analytical software especially Access, Excel, SQL, SAS and reporting tools (Power BI, data studio, Google Analytics) Be analytical and process driven with a fantastic attention for detailHave experience of creating data strategies that drive commercial benefitEnjoy stakeholder management and working with cross functional teams You will need to demonstrate  Creative thinker and problem solver.Excellent planning, organisational and time management skills, with the ability to work under pressure and to tight deadlines.Proven ability to multi-task, manage and prioritise multiple campaigns and stakeholders, maintaining a key eye for detail in all areas.Demonstrates an effective and resourceful approach to addressing issues.Keen to suggest new ideas and/or ways of doing things. Benefits: Competitive salary and bonus scheme *25 days holiday plus bank holidays *DB pension scheme, Life Cover for those in the pension scheme *Staff purchase scheme. *Private Health Care *Plus access to many other lifestyle benefits","",""
"1628455675-1745","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom","Data Analyst","https://www.reed.co.uk/jobs/data-analyst/43485822?source=searchResults#/jobs/data-analyst-jobs-in-united-kingdom","Data Analyst","Harnham","£30,000 - £40,000 per annum","Posted 26 July by 

                        Harnham","Data Analyst
Leading football charity
Reporting / SQL
£40,000
London  The UK's leading football charity are looking for a Data Analyst to use their skills and experience to make a real difference to grassroots community football. THE COMPANY: The charity are partnered with the FA, the Premier League, the UK Government, and Sports England to provide funding for grassroots football. At present, they have delivered over £1.4 billion worth of change to community football through improved pitches  and changing facilities which has in turn improved football for those who play recreational and ensures that no players are put at a disadvantage due to their personal circumstances. THE ROLE: The successful Data Analyst will play a vital role in measuring the impact of investment from funding partners and help inform strategic decision making. In specific, you can expect to be involved in the following:  Preparing relevant data analysis to support investment planning and performance work.Regularly working with the finance team to prepare accurate budget commitment and pipeline projects.Ensuring that software and tools are operating efficiently and that relevant databases are organised and accessible. YOUR SKILLS AND EXPERIENCE: The successful Data Analyst will have the following skills and experience:  Commercial experience using reporting tools such as Power BI or Tableau.Good SQL skills would be beneficial.Solid understanding of key principles relating to data analysis.Experience of database management. THE BENEFITS: The successful Data Analyst will receive a salary of up to £40,000 and access to a market-leading benefits package and additional perks such as free game tickets. HOW TO APPLY: Please register your interest by sending your CV to Maddie McKechnie via the apply link at the bottom of this page.","3","https://www.reed.co.uk/jobs/data-analyst-jobs-in-united-kingdom?pageno=3"
