,training_noun_phrases,skill_set_bool
0,considerable investment,0
1,insight analytics team,1
2,business,0
3,fantastic opportunity,0
4,forefront,0
5,role,0
6,main purpose,0
7,role,0
8,data quality improvement,1
9,business,0
10,data governance programme,1
11,detailed data analysis,1
12,build,0
13,tool,1
14,quality,0
15,data user,1
16,data quality issue,1
17,edw,0
18,reporting solution,1
19,answer,0
20,data,1
21,bridge,0
22,insight,1
23,ass,0
24,input,0
25,analyst,0
26,line,0
27,data quality analyst,1
28,data quality profiling,1
29,business stakeholder,0
30,good data modelling experience,1
31,good sql andor plsql experience,1
32,m excelgsheets,0
33,sql,1
34,table design,1
35,creation,0
36,minimum standard,0
37,ability,0
38,manipulation,0
39,cloud platform,1
40,employment agency,0
41,relation,0
42,commercial data analyst,1
43,hybrid day,0
44,office,0
45,unlimited coursera access,0
46,private health,0
47,dental profectus,0
48,machine learning,1
49,power,0
50,data analyst,1
51,solution,0
52,client,0
53,generate,0
54,report,1
55,commercial metric,0
56,customer success manager,0
57,presentation,1
58,commercial teamworking,0
59,software engineering team,0
60,complex data requirement,1
61,insight,1
62,background,0
63,career changer,0
64,least two year work experience,0
65,reporting,1
66,ad hoc analysispython,0
67,data,1
68,especially panda,0
69,numpyexperience,0
70,data,1
71,large messy data set,1
72,custom report,1
73,insight,1
74,briefexperience,0
75,benefit,0
76,opportunity,0
77,uk based candidate,0
78,full working right,0
79,good fit,0
80,detail,0
81,immediate consideration,0
82,data idol,1
83,senior data analyst,1
84,team,0
85,role,0
86,london,0
87,flexible working,0
88,option,0
89,uk,0
90,role,0
91,role,0
92,wider data team,1
93,leadership,0
94,mentor junior team member,0
95,stakeholder,0
96,skill,0
97,strong commercial experience,0
98,end,0
99,part,0
100,individuallystrong data presentation,1
101,pythonan,0
102,great opportunity,0
103,great salary benefit package,0
104,consideration,0
105,senior data analyst,1
106,client,0
107,market data analyst,1
108,continued expansion,0
109,client,0
110,market data analyst,1
111,team,0
112,analysis,1
113,business,0
114,timely unbiased relevant report,1
115,marketing team,0
116,year,0
117,current market trend,0
118,order,0
119,business,0
120,ideal candidate,0
121,minimum,0
122,marketing data position,1
123,ability,0
124,data knowledge,1
125,key responsibility,0
126,internal seo,0
127,external seo contractor,0
128,professional,0
129,external website developer,0
130,report,1
131,google analytics google trend,0
132,data search engine ranking cost index,1
133,background,0
134,keen eye,0
135,trend,0
136,data analysis,1
137,immediate consideration,0
138,super luxury automotive client,0
139,busy client contact team,0
140,new product campaign,0
141,client data,1
142,team,0
143,personal drive,0
144,delivery,1
145,effortless client experience,0
146,heart,0
147,attention,0
148,prerequisite superior client service level,0
149,successful individual,0
150,perfection,0
151,right first time solution,0
152,flexibility,0
153,specialist projectscampaigns,0
154,accurate maintenance,0
155,existing reporting process documentation,1
156,analysis,1
157,creation,0
158,maintenance,0
159,input,0
160,data,1
161,analyse efficiency,0
162,person,0
163,enthusiastic attitude,0
164,approachable personality,0
165,client satisfaction,0
166,high level ability,0
167,client,0
168,ability,0
169,responsive team player,0
170,tight deadline,0
171,improvement,0
172,work,0
173,new challenge,0
174,attitude,0
175,strong focus,0
176,luxury retail experience,0
177,edm,0
178,marketing knowledge,1
179,full ukeu driving,0
180,licence,0
181,desirable language,1
182,algorithm,1
183,inhouse,0
184,big data engineer,1
185,python,1
186,hadoop platform,1
187,sql,1
188,complex sql query,1
189,easily trainconfident coding scripting skill,0
190,cleaning,0
191,loading,0
192,python,1
193,large datasets,1
194,coordination,0
195,key role,0
196,clientside implementation,0
197,aspectsprovide consultative support,0
198,team,0
199,business problem,0
200,recommendation,0
201,neededengage,0
202,product management,1
203,client,0
204,team,0
205,data insight,1
206,data processing need,1
207,result,0
208,meaningful business technical requirement,0
209,relevantsupport testing,0
210,production code,0
211,management,1
212,analytics process,0
213,procedure,0
214,data governance,1
215,security,1
216,protection,1
217,service software product lifecycle acting,0
218,focal point,0
219,client data analytics activity,1
220,data management complies,1
221,local regional national legal regulatory framework,0
222,quality,0
223,financial service industry,0
224,number,0
225,team,0
226,conduct,0
227,efficiency,0
228,team,0
229,reliable scalable flexible platform,0
230,project,0
231,issue,0
232,timely fashion,0
233,minimum disruption,0
234,test cycle,0
235,requiredany adhoc data capture,1
236,data cleansingdesire,1
237,capacity,0
238,trade regulation,0
239,existing industryleading servicessupporting line manager,0
240,prospect,0
241,excellent problemsolving skill,0
242,common senseexceptional organisational prioritisation skill,0
243,autonomouslygreat,0
244,verbal written skill,0
245,wide range,0
246,deadlineexperience,0
247,team,0
248,job category,0
249,marketingjob level,0
250,specialist,0
251,professionalemployment type,0
252,fulltime permanentlocation,0
253,uxbridge,0
254,middlesex job purpose,0
255,summary,0
256,global client,0
257,crm data analyst,1
258,team,0
259,direct marketing data intelligence capability,1
260,relationship,0
261,consumer,0
262,understanding,0
263,marketing opportunity,0
264,product,0
265,service,0
266,organization ability,0
267,prosumer,0
268,consumer data,1
269,join,0
270,great team,0
271,problem,0
272,skill,0
273,ability,0
274,project,0
275,experience,0
276,advantage,0
277,encouragement,0
278,people,0
279,role,0
